Serial Number,School Link,School Name,School Address,Phone Number,County,Students,Grade
11.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270002503396,270 HOPKINS WEST JR HIGH ALC,"3830 BAKER RD, MINNETONKA, MN 55305",(952)988-4843,Hennepin County,0,7-9
12.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270002503554,277 WESTONKA AREA LEARNING ACADEMY,"5901 SUNNYFIELD RD E, MINNETRISTA, MN 55364",(952)491-8258,Hennepin County,0,9-12
13.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=080258006836,27J Online Academy,"18551 E. 160TH AVE, BRIGHTON, CO 80601",(303)655-2958,Adams County,390,KG-12
14.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270002504216,283-IND STDY 15 AND UNDER - I.S.,"6425 W 33RD ST, SAINT LOUIS PARK, MN 55426",(952)928-6000,Hennepin County,0,9-12
15.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270002503561,283-ST. LOUIS PARK ALC,"6425 W 33RD ST, SAINT LOUIS PARK, MN 55426",(952)928-6000,Hennepin County,0,9-12
16.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=360010206477,30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),"28-37 29TH ST, ASTORIA, NY 11102",(718)726-0501,Queens County,488,KG-8
17.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=270002504823,4122 - Eagle Ridge Academy - IS,"11111 BREN ROAD WEST, MINNETONKA, MN 55343",(952)746-7760,Hennepin County,0,9-12
18.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=270002504476,4126 - PRAIRIE SEEDS ACADEMY - IS,"6200 W BROADWAY AVE, BROOKLYN PARK, MN 55428",(763)450-1388,Hennepin County,0,9-12
19.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=360007705767,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),"223 E 23RD ST, NEW YORK, NY 10010",(914)326-6609,New York County,175,PK-8
20.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=400957002918,4TH AND 5TH GRADE CENTER,"4653 N W 206TH STREET, EDMOND, OK 73012",(405)531-9328,Oklahoma County,"1,134",4-5
21.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=410804001887,5-6 School at Oakdale,"815 S OAKDALE AVE, MEDFORD, OR 97501",(541)842-3636,Jackson County,0,5-6
22.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=262016008622,54th Street Academy,"173 54TH ST SW, GRAND RAPIDS, MI 49548",(616)531-7433,Kent County,66,9-12
23.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=261884009043,56 Building at Georgetown,"3835 BALDWIN ST, HUDSONVILLE, MI 49426",(616)669-7750,†,†,–
24.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=272385001044,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,"2520 E 12TH AVENUE, NORTH SAINT PAUL, MN 55109",(651)748-7454,Ramsey County,0,6-12
25.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=402097000599,6TH AND 7TH GRADE ACADEMY,"300 VIRGIL MATTHEWS DR, Muskogee, OK 74403",(918)684-3775,Muskogee County,597,6-7
26.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=130123004364,7 Pillars Career Academy,"4234 Hendrix Dr, Forest Park, GA 30297",(770)954-5306,Clayton County,127,6-9
27.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=402487002915,7TH AND 8TH GRADE ACADEMIC CTR,"100 MOCKINGBIRD LANE, POTEAU, OK 74953",(918)647-7740,Le Flore County,335,7-8
28.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=402097002930,8TH AND 9TH GRADE ACADEMY,"402 N S St, Muskogee, OK 74403",(918)684-3700,Muskogee County,710,8-9
29.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=270226404430,916 MAHTOMEDI ACADEMY,"2735 COUNTY RD D EAST, WHITE BEAR LAKE, MN 55110",(651)415-5364,Ramsey County,74,9-12
30.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=2&ID=270002602121,917 INTRA-DAKOTA EDUCATIONAL ALT,"14300 BISCAYNE AVE, ROSEMOUNT, MN 55068",(651)423-8100,Dakota County,47,KG-12
31.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=270002602111,917 TRANSITIONAL EDUCATION SERV ALT,"1300 145TH ST E, ROSEMOUNT, MN 55068",(651)423-8401,Dakota County,96,7-12
32.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=480735000001,A & M CONS H S,"1801 HARVEY MITCHELL PKWY S, COLLEGE STATION, TX 77840",(979)764-5500,Brazos County,"2,091",9-12
33.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=480735008712,A & M CONSOLIDATED MIDDLE,"105 HOLIK DR, COLLEGE STATION, TX 77840",(979)764-5575,Brazos County,707,7-8
34.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=340894003908,A A Anastasia Elementary School,"92 SEVENTH AVENUE, LONG BRANCH, NJ 07740",(732)571-3396,Monmouth County,586,KG-5
35.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=362343003270,A A GATES ELEMENTARY SCHOOL,"30 MAPLE AVE, PORT BYRON, NY 13140",(315)776-5728,Cayuga County,392,PK-6
36.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=362367003299,A A KINGSTON MIDDLE SCHOOL,"29 LEROY ST, POTSDAM, NY 13676",(315)265-2000,ST. Lawrence County,376,5-8
37.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=210271000573,A B Chandler Elementary School,"11215 US Hwy 60 W, Corydon, KY 42406",(270)533-1760,Henderson County,272,KG-5
38.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=481944001801,A B DUNCAN COLLEGIATE EL,"1011 S 8TH ST, FLOYDADA, TX 79235",(806)983-5332,Floyd County,328,PK-5
39.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=483042003424,A B MCBAY EL,"P O BOX 2000, MEXIA, TX 76667",(254)562-4030,Limestone County,539,PK-2
40.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=160222000390,A B MCDONALD ELEMENTARY SCHOOL,"2323 EAST D STREET, MOSCOW, ID 83843",(208)882-0228,Latah County,358,PK-5
41.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=170654000339,A B Shepard High Sch (Campus),"13049 S Ridgeland Ave, Palos Heights, IL 60463",(708)371-1111,Cook County,"1,910",9-12
42.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=480858000225,A C BLUNT MIDDLE,"2103 DEMORY LN, ARANSAS PASS, TX 78336",(361)758-2711,San Patricio County,368,6-8
43.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=410852000858,A C Houghton Elementary School,"1105 N Main Ave, Irrigon, OR 97844",(541)922-3321,Morrow County,212,KG-3
44.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=480972000442,A C JONES H S,"1902 N ADAMS, BEEVILLE, TX 78102",(361)362-6000,Bee County,970,9-12
45.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=3&ID=341122003456,A Chester Redshaw School,"216 Livingston Avenue, NEW BRUNSWICK, NJ 08901",(732)745-5300,Middlesex County,813,PK-5
46.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=360558000286,A D OLIVER MIDDLE SCHOOL,"40 ALLEN ST, BROCKPORT, NY 14420",(585)637-1860,Monroe County,702,6-8
47.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=250711001062,A Drewicz Elementary,"34 Hood Street, Lynn, MA 01905",(781)477-7350,Essex County,464,PK-5
48.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=250861001356,A E Angier,"1697 Beacon Street, Waban, MA 02468",(617)559-9300,Middlesex County,423,KG-5
49.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=483624004074,A E BUTLER INT,"410 CLARDY DR, QUINLAN, TX 75474",(903)356-1401,Hunt County,578,3-5
50.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=170002404632,A E R O Educational Center,"7600 Mason Ave, Burbank, IL 60459",(708)496-3330,Cook County,0,–
51.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=173399003491,A F Ames Elem School,"86 Southcote Rd, Riverside, IL 60546",(708)447-0759,Cook County,443,PK-5
52.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=250271501078,A F Maloney,"200 Lincoln Street, Blackstone, MA 01504",(508)876-0119,Worcester County,343,4-5
53.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=360273000048,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,"213 MAIN ST, WINDSOR, NY 13865",(607)655-8247,Broome County,549,PK-8
54.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=370001201488,A G Cox Middle,"2657 Church Street, Winterville, NC 28590",(252)756-3105,Pitt County,907,6-8
55.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=482493006126,A G ELDER EL,"513 HENDERSON ST, JOSHUA, TX 76058",(817)202-2500,Johnson County,628,PK-5
56.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=530910002602,A G West Black Hills High School,"7741 Littlerock Road SW, Tumwater, WA 98512",(360)709-7800,Thurston County,856,9-12
57.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=160153000252,A H BUSH ELEMENTARY SCHOOL,"380 WEST ANDERSON STREET, IDAHO FALLS, ID 83402",(208)525-7602,Bonneville County,327,PK-6
58.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=470333001977,A H Roberts Elementary,"301 Zachary ST, Livingston, TN 38570",(931)823-5551,Overton County,357,PK-4
59.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=370333001392,A H Snipes Academy of Arts/Des,"2150 Chestnut Street, Wilmington, NC 28405",(910)251-6175,New Hanover County,391,KG-5
60.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=4&ID=390471702692,A J Jordak Elementary School,"16000 E High St # 188, Middlefield, OH 44062",(440)632-0261,Geauga County,319,KG-4
61.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=170011004814,A J Katzenmaier Academy,"1829 Kennedy Dr, North Chicago, IL 60064",(847)689-6330,Lake County,345,4-5
62.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=422415006933,A J McMullen Sch,"4773 National Pike, Markleysburg, PA 15459",(724)329-8811,Fayette County,159,6-8
63.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=040553000451,A J Mitchell Elementary School,"855 N BAUTISTA ST, NOGALES, AZ 85621",(520)287-0840,Santa Cruz County,294,KG-5
64.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=361656001462,A J SCHMIDT ELEMENTARY SCHOOL,"9455 LAKE SHORE RD, ANGOLA, NY 14006",(716)926-2351,Erie County,277,KG-5
65.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=530003000001,A J West Elementary,"1801 Bay Ave., Aberdeen, WA 98520",(360)538-2131,Grays Harbor County,292,PK-5
66.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=160024000016,A J WINTERS ELEMENTARY SCHOOL,"535 CLAY STREET, MONTPELIER, ID 83254",(208)847-0477,Bear Lake County,300,PK-5
67.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=180657000433,A K Smith Area Career Center,"817 Lafayette St, Michigan City, IN 46360",(219)873-2120,Laporte County,0,6-12
68.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=370243001039,A L Brown High,"415 Martin Luther King Jr Ave, Kannapolis, NC 28083",(704)932-6125,Cabarrus County,"1,670",9-12
69.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=470222000076,A L Lotts Elementary,"9320 Westland DR, Knoxville, TN 37922",(865)539-8611,Knox County,949,KG-5
70.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=370348001441,A L Stanback Middle,"3700 NC 86 South, Hillsborough, NC 27278",(919)644-3200,Orange County,636,6-8
71.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&SchoolPageNum=5&ID=420210007575,A L Wilson El Sch,"100 Al Wilson Drive, Fairchance, PA 15436",(724)564-7434,Fayette County,358,KG-5
